name,url,description,area,roles,country,quality,status,verifiedAt
Tobias van Schneider,https://vanschneider.com,"Portfolio multidisciplinar de um dos designers mais influentes da cena independente. Blog semanal sobre carreira, processo e criatividade.","Brand Design, Art Direction","Creative Director, Brand Designer",Alemanha / EUA,5,Ativo,2025-05
Frank Chimero,https://frankchimero.com,"Designer e escritor americano, autor de 'The Shape of Design'. Reflexões profundas sobre design, tecnologia e cultura. Referência conceitual.","Design Strategy, Graphic Design","Designer, Author",EUA,5,Ativo,2025-05
Emil Kowalski,https://emilkowal.ski,Designer de produto suíço com atenção extrema a detalhes de interface e animação.,"Product Design, UX/UI, Motion Design","Product Designer, UI Designer",Suíça,5,Ativo,2025-05
Tino Nyman,https://tinonyman.com,Designer finlandês especializado em branding de luxo e jóias. Cases sofisticados com forte senso editorial.,"Brand Design, Art Direction","Brand Designer, Art Director",Finlândia,5,Ativo,2025-05
Ana Couto,https://anacouto.com.br,Estrategista de marca e fundadora da Ana Couto Branding. Uma das maiores referências em branding no Brasil.,"Brand Design, Design Strategy","Brand Strategist, Founder",Brasil,5,Ativo,2025-05
Zeh Fernandes,https://zehfernandes.com,Designer de produto e desenvolvedor criativo brasileiro. Projetos experimentais que cruzam design e código.,"Product Design, Design Engineering","Design Engineer, Product Designer",Brasil,5,Ativo,2025-05
Fabio Haag,https://fabiohaagtype.com,Fundição tipográfica e portfólio do type designer brasileiro Fabio Haag. Fontes brasileiras de referência.,Type Design,"Type Designer, Typographer",Brasil,5,Ativo,2025-05
Mitul Mistry,https://mitul.ca,"Designer britânico na interseção de produto, tipografia e identidade. Mantém curadoria Typical Mitul.","Product Design, Type Design, Brand Design",Product Designer,Reino Unido,4,Ativo,2025-05
Anton & Irene,https://antonandirene.com,Duo de designers de produto e UX baseado em NYC. Cases de alto nível para grandes marcas globais.,"Product Design, UX/UI","Design Director, Product Designer",EUA,4,Ativo,2025-05
Mike Abbink,https://mikeabbink.com,"Designer de tipo e identidade, ex-IBM. Referência em type design aplicado a branding corporativo.","Type Design, Brand Design","Type Director, Brand Designer",EUA,4,Ativo,2025-05
Robbin Cenijn,https://robbincenijn.com,Designer holandês com portfólio em produto e interfaces digitais de alto nível.,"Product Design, UX/UI",Product Designer,Holanda,4,Ativo,2025-05
Basvanbrandwijk,https://basvanbrandwijk.com,Designer holandês com foco em identidade visual e branding para startups e marcas globais.,Brand Design,Brand Designer,Holanda,4,Ativo,2025-05
Marina Veziko,https://marinaveziko.com,Graphic designer finlandesa com estilo livre e experimental. Featured no It's Nice That.,"Graphic Design, Illustration",Graphic Designer,Finlândia,4,Ativo,2025-05
Antoine Corbineau,https://antoinecorbineau.com/en-us,Ilustrador e designer francês com estilo muito característico. Trabalhos para marcas globais.,"Illustration, Art Direction","Illustrator, Art Director",França,4,Ativo,2025-05
